Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,AB,H,2B,3B,BB,SO,OPS,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA",34,157,10,30,21,5,0.216560509,0.235668789,0.291666667,0.287671232,0.258333333,0.433121019,0.55,0.4253247980198829,0.4644076196770919,168.7032192061062,0.2804838032461703,13.086882512077601,-3.2995060309767723,1.556202921824901,120,31,5,0,34,37,0.983121019,"Mike Trout",10155,545361
"Moisés Ballesteros","CHC",30,92,6,14,18,0,0.097826086,0.163043478,0.280487805,0.322580645,0.31707317,0.380434782,0.597560975,0.42145573444988416,0.35706615447998047,171.17607923341905,-0.16302671283483505,7.533705387742511,-3.0505547411739826,0.7567493916937722,82,26,5,0,9,15,0.977995757,"Moises Ballesteros",28820,694208
"Christian Walker","HOU",35,144,8,22,26,0,0.104166666,0.173611111,0.261904762,0.340425531,0.317460317,0.395833333,0.579365079,0.4215812120404277,0.3746987189446296,167.9317324771731,-0.34730991208925843,11.266787438430274,-1.6047062873840332,1.496986178052723,126,40,9,0,15,25,0.975198412,"Christian Walker",13419,572233
"Luis Campusano","SDP",17,54,3,8,10,0,0.074074074,0.277777777,0.32,0.375,0.3,0.351851851,0.62,0.4172734938285969,0.33863805375009215,170.3038102421009,0.1794322901405394,4.641715237677652,1.4791604280471802,0.7988721739806735,50,15,7,0,4,15,0.971851851,"Luis Campusano",22217,669134
"Jordan Walker","STL",33,142,10,27,27,6,0.091549295,0.288732394,0.283464567,0.376623376,0.307086614,0.373239436,0.590551181,0.41659546276213416,0.40553297123438875,168.2405837971818,1.1868117381818593,12.576597624200552,-2.4800373315811157,1.4909500183193312,127,39,6,0,13,41,0.963790617,"Jordan Walker",27475,691023
"Brendan Donovan","SEA",18,71,3,7,8,1,0.126760563,0.169014084,0.214285714,0.333333333,0.303571428,0.436619718,0.517857142,0.423507293345223,0.33885896709603325,175.13583458799303,-0.1125143370591104,6.221160198444908,-2.6998456865549088,0.611787941790757,56,17,3,0,9,12,0.95447686,"Brendan Donovan",24679,680977
"Chase DeLauter","CLE",32,130,6,15,21,0,0.13076923,0.107692307,0.25,0.301075268,0.303571428,0.392307692,0.553571428,0.411572279379918,0.37431566105332487,161.8205390853935,0.4346942398697138,9.97640877651878,-1.4289647936820984,1.3336303755353787,112,34,8,1,17,14,0.94587912,"Chase DeLauter",32127,800050
"Joey Wiemer","WSN",25,66,3,13,8,1,0.121212121,0.378787878,0.24137931,0.5,0.310344827,0.393939393,0.551724137,0.4133629862106208,0.29799434955303483,163.90441561333077,0.7968004974536598,5.754261257006838,0.22442114353179932,0.8236861374430986,58,18,3,1,8,25,0.94566353,"Joey Wiemer",27690,686894
"Nathaniel Lowe","CIN",23,69,5,8,15,0,0.101449275,0.20289855,0.322580645,0.279069767,0.274193548,0.347826086,0.596774193,0.40665537723596545,0.3857957399808444,154.4179409726644,-0.33400427270680666,4.079419987690352,-1.4745957553386688,0.490560518447207,62,17,5,0,7,14,0.944600279,"Nathaniel Lowe",19566,663993
"CJ Abrams","WSN",34,143,8,19,27,6,0.118881118,0.174825174,0.237288136,0.310344827,0.296610169,0.405594405,0.533898305,0.4081979643368552,0.39074815249612144,160.40373515350586,-0.11926090903580189,10.033503628540382,-2.394761800765991,1.2443924875143302,118,35,4,0,17,25,0.93949271,"CJ Abrams",25768,682928
"Ozzie Albies","ATL",35,151,7,27,22,0,0.079470198,0.112582781,0.214814815,0.333333333,0.333333333,0.38410596,0.548148148,0.4045823863799998,0.3199750129750233,157.45818305995613,-0.5491743837483227,9.648785939343643,0.5473638456314802,1.5305235987387908,135,45,8,0,12,17,0.932254108,"Ozzie Albies",16556,645277
"Seiya Suzuki","CHC",21,92,5,15,10,0,0.119565217,0.25,0.217948718,0.372549019,0.307692307,0.402173913,0.525641025,0.4049531293439341,0.37037474244505497,159.99116101960942,-0.6239916640333831,5.86324252677233,-0.4669177532196045,0.8495707825789317,78,24,2,0,11,23,0.927814938,"Seiya Suzuki",30116,673548
"Yandy Díaz","TBR",31,135,5,19,21,1,0.096296296,0.118518518,0.170940171,0.354166666,0.333333333,0.422222222,0.504273504,0.40908483723948774,0.376764355283795,158.10011931097452,-0.16870604176074266,9.14368216146044,-3.3487653732299805,1.0717215536530715,117,39,3,1,13,16,0.926495726,"Yandy Diaz",16578,650490
"Liam Hicks","MIA",31,112,7,18,29,1,0.080357142,0.080357142,0.24742268,0.270588235,0.30927835,0.366071428,0.55670103,0.3925868949374637,0.3718599791920513,148.45081327372296,0.1788533953949809,6.5571333306596005,0.22983670234680176,1.0563714701457,97,30,3,0,9,9,0.922772458,"Liam Hicks",29844,689414
"Kyle Schwarber","PHI",34,152,11,22,20,0,0.164473684,0.315789473,0.333333333,0.25,0.219512195,0.368421052,0.552845528,0.4008596743408002,0.382106073644777,153.7861612714709,-1.1909283632412553,8.41852358989916,-4.552423715591431,0.8903654412740045,123,27,6,1,25,48,0.92126658,"Kyle Schwarber",16478,656941
"Brice Turang","MIL",30,139,4,27,20,7,0.194244604,0.208633093,0.2,0.358974358,0.29090909,0.427536231,0.49090909,0.40672490327027594,0.4194765090942383,160.14587113473334,0.49326897831633687,10.319910240981415,1.6035172641277313,1.6668286808461363,110,32,8,1,27,29,0.918445321,"Brice Turang",22186,668930
"Josh Jung","TEX",31,126,4,12,19,1,0.079365079,0.15079365,0.210526316,0.358695652,0.324561403,0.38095238,0.535087719,0.40028493177323116,0.3708358643546937,154.46608004351432,-0.7666490077972412,7.381274521486153,-1.764974445104599,1.0213866531601268,114,37,12,0,10,19,0.916040099,"Josh Jung",26299,673962
"Austin Martin","MIN",30,95,1,11,7,4,0.210526315,0.157894736,0.097222222,0.403508771,0.333333333,0.484210526,0.430555555,0.42088224072205394,0.38160673442639803,166.1393923748165,-1.1815659678541124,6.278352574707005,-0.7908120430074632,0.8974596796031217,72,24,4,0,20,15,0.914766081,"Austin Martin",27462,668885
"Juan Soto","NYM",19,82,3,8,8,1,0.146341463,0.158536585,0.185714286,0.351851851,0.314285714,0.414634146,0.5,0.39961953833699226,0.4312220223342316,157.89736589325994,-0.3634233917109668,5.216871370654655,-1.5375721901655197,0.6423174196111266,70,22,4,0,12,13,0.914634146,"Juan Soto",20123,665742
"Dominic Smith","ATL",25,72,4,11,17,0,0.041666666,0.125,0.212121212,0.333333333,0.333333333,0.366197183,0.545454545,0.3968260926260075,0.39883299276862344,152.20122449349273,-0.16735483147203922,4.250359904912228,-2.05246901512146,0.4590138435195412,66,22,2,0,3,9,0.911651728,"Dominic Smith",15653,642086
"Michael Harris II","ATL",32,113,7,13,22,2,0.053097345,0.17699115,0.235849057,0.3375,0.320754716,0.3539823,0.556603773,0.3953028806542928,0.4433457510811942,151.16884195652094,-0.46538546262308955,6.3308515127566025,2.271316133439541,1.2441531129085261,106,34,4,0,6,20,0.910586073,"Michael Harris II",25931,671739
"Drake Baldwin","ATL",35,161,8,32,29,1,0.093167701,0.198757763,0.202797203,0.3592233,0.314685314,0.391304347,0.517482517,0.4002016928046942,0.39704184532165526,154.4890942982134,-0.20770854642614722,10.103746369794917,-0.37734758853912354,1.515497727910456,143,45,5,0,15,32,0.908786864,"Drake Baldwin",31539,686948
"Christian Vázquez","HOU",17,60,2,6,11,0,0.083333333,0.15,0.185185185,0.372093023,0.333333333,0.389830508,0.518518518,0.4007419378070508,0.261157116647494,153.9488374334002,-0.2301017134450376,3.613015407294555,0.5927356854081154,0.6420289004973817,54,18,4,0,5,9,0.908349026,"Christian Vazquez",9774,543877
