Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Yunior Marte","PHI",0,0,0,23,0,26,7.961539045593486,5.192308073213143,1.7307693577377141,0.34523809523809523,0.64285714,0.449438202,0.2,97.20133231026786,6.9230774309508565,6.281780808959258,5.628018420405656,4.581872580412649,-0.2511533796787262,"Yunior Marte",14416,628708
"Drew Smyly","CHC",4,8,0,50,0,58.2,8.590910580532869,3.8352279377378875,1.5340911750951551,0.2883435582822086,0.78873239,0.352941176,0.136986301,,3.8352279377378875,3.700570384901836,4.905116443397637,4.570626845413412,-0.25690513849258423,"Drew Smyly",11760,592767
"Dane Dunning","TEX",1,1,0,11,0,23.1,4.628571680808568,3.0857144538723786,1.5428572269361893,0.36046511627906974,0.73604061,0.438202247,0.125,87.67814636230469,6.171428907744757,6.1467823852041095,5.652194199464766,5.497234290981539,-0.2587703764438629,"Dane Dunning",19409,641540
"Jay Jackson","MIN",1,2,0,20,0,26.1,9.911393601549559,3.075949738411932,2.3924053520981694,0.30434782608695654,0.47794118,0.355263157,0.21875,92.03648639547414,7.5189882494513895,4.6811765940547065,5.444961066002337,3.826641971873295,-0.2672027051448822,"Jay Jackson",7432,543351
"Jacob Latz","TEX",2,3,0,46,0,43.2,8.24427744995152,5.564887278717276,1.236641617492728,0.2796610169491525,0.80204778,0.360655737,0.107142857,95.15597792288557,3.709924852478184,4.884216850421023,5.044342975223197,5.197147697797357,-0.27746468782424927,"Jacob Latz",21306,656641
"Hayden Wesneski","CHC",2,3,0,21,0,32,9.281251659617125,3.0937505532057084,1.9687503520399963,0.21052631578947367,0.8677686,0.487804878,0.21875,95.14404579118496,3.656250653788564,4.107699940502341,4.978980102390109,3.6472382704779793,-0.3054899275302887,"Hayden Wesneski",27581,669713
"Brendon Little","TOR",1,2,1,49,0,45.2,7.0948920913790054,3.7445263815611414,1.3795623511014732,0.26153846153846155,0.78125,0.708955223,0.35,,3.7445263815611414,4.138663260821949,4.896407170940849,3.565899607214159,-0.30625560879707336,"Brendon Little",21574,663893
"Spencer Bivens","SFG",2,1,1,25,0,39.1,7.093221256220058,2.288135889103245,1.6016951223722713,0.27586206896551724,0.7960199,0.549180327,0.170731707,94.85321635584677,3.4322038336548673,3.9925288201487357,4.742751168560919,4.005268310189684,-0.3113384544849396,"Spencer Bivens",30226,702352
"Matt Bowman","- - -",1,0,0,24,0,29.1,6.750001184134528,3.9886370633522215,1.534091178212393,0.23529411764705882,0.75757576,0.455555555,0.151515151,93.8125991821289,4.602273534637178,4.882020682233068,5.416480173001305,4.901580448764342,-0.3167560175061226,"Matt Bowman",13528,621199
"Colin Poche","TBR",1,2,2,43,0,37.1,7.955358226688689,3.1339289983925136,1.6875002299036612,0.23,0.81325301,0.333333333,0.132075471,91.30698902027027,3.8571433826369397,3.683681481008725,4.880765726128435,4.58977762031728,-0.31853827834129333,"Colin Poche",19403,621363
"Lucas Sims","- - -",1,6,1,58,0,49.1,8.939191320458482,5.472974277831724,1.459459807421793,0.2619047619047619,0.79288026,0.28030303,0.111111111,94.43479322350544,4.378379422265379,4.31791810606747,5.234047838804002,5.332654725448332,-0.3233626186847687,"Lucas Sims",13470,608371
"Brandon Bielak","- - -",1,0,0,16,0,29.2,4.247191511851821,3.943820689576691,1.5168541113756504,0.32075471698113206,0.78723404,0.387387387,0.113636363,92.15540930706521,5.157303978677211,6.664735407257842,5.930525047907647,5.982043139612509,-0.3286946713924408,"Brandon Bielak",19866,656232
"Jake Bird","COL",2,2,1,35,0,40,6.9750013303759255,5.62500107288381,1.1250002145767621,0.31666666666666665,0.78461538,0.467213114,0.116279069,94.70468139648438,4.5000008583070485,5.633284574717496,5.416480207443319,5.416889244209843,-0.3447888195514679,"Jake Bird",21267,656234
"Mitch White","- - -",1,1,0,13,0,23.2,4.943662503058474,4.943662503058474,1.521126924017992,0.27848101265822783,0.55232558,0.407407407,0.137931034,94.34982584635416,7.225352889085462,6.408906915058172,6.039719523657114,5.6952790830012034,-0.35733918845653534,"Mitch White",19225,669952
"Bryan Sammons","DET",1,1,0,6,0,27.1,5.926829544012932,2.963414772006466,1.9756098480043107,0.14285714285714285,0.85227273,0.2,0.130434782,91.51428305697279,3.6219513880079033,4.439670340130718,5.800626242295543,5.491567204242505,-0.36795666813850403,"Bryan Sammons",20462,676614
"Will Smith","KCR",0,4,1,45,0,41.1,6.31451690606356,3.266129434170807,1.5241937359463766,0.2878787878787879,0.60150376,0.306569343,0.109375,91.34497568558673,6.532258868341614,5.412219868922562,5.271318746977649,5.410880167333589,-0.3789942264556885,"Will Smith",8048,519293
"Thyago Vieira","- - -",0,1,1,28,0,38,9.236843496148484,6.15789566409899,1.894737127415074,0.28431372549019607,0.78066914,0.3853211,0.186046511,97.62669268046339,5.210527100391453,4.950219527706966,6.061217056285047,5.035331677268653,-0.4014531597495079,"Thyago Vieira",14510,600986
