Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Chris Sale","ATL",18,3,0,29,29,177.2,11.397749245462858,1.975609869213562,0.4559099698185143,0.31353919239904987,0.7981756,0.448356807,0.062937062,94.94208480046949,2.380863175718908,2.7822302887056574,2.0858042942755386,2.6442501166237466,6.4253740310668945,"Chris Sale",10603,519242
"Tarik Skubal","DET",18,4,0,31,31,192,10.6875,1.640625,0.703125,0.27253218884120173,0.8,0.45702306,0.087719298,96.99477782943677,2.390625,2.6851972148481353,2.4946047782897955,2.8256122650811455,5.9618635177612305,"Tarik Skubal",22267,669373
"Zack Wheeler","PHI",16,7,0,32,32,200,10.08,2.34,0.9,0.2463768115942029,0.80116959,0.426,0.102564102,95.46789937258687,2.565,2.821236140494097,3.126479778289795,3.300687974356115,5.392975807189941,"Zack Wheeler",10310,554430
"Cole Ragans","KCR",11,9,0,32,32,186.1,10.771019972008446,3.236136045401641,0.724508069866039,0.29046563192904656,0.74747475,0.407407407,0.080645161,95.54908834226646,3.1395349694195023,3.254923066167714,2.9947445320993267,3.457536477955223,4.855106353759766,"Cole Ragans",21846,666142
"Dylan Cease","SDP",14,11,0,33,33,189.1,10.64788760998921,3.0897888153986544,0.8556338258027043,0.26269315673289184,0.6935123,0.397849462,0.091370558,96.92338346541787,3.470070515755412,3.3068118444664107,3.0978178046142695,3.4351364194456018,4.746432781219482,"Dylan Cease",18525,656302
"Seth Lugo","KCR",16,9,0,33,33,206.2,7.882258452495868,2.090322683534816,0.6967742278449386,0.2766323024054983,0.75141777,0.441624365,0.073732718,92.34196428571428,3.004838857581298,3.764560781549614,3.2487378468548225,3.8298950890902206,4.6767354011535645,"Seth Lugo",12447,607625
"Cristopher Sánchez","PHI",11,9,0,31,31,181.2,7.579816938197533,2.179816635821513,0.5449541589553782,0.3131868131868132,0.71225071,0.573770491,0.093220338,,3.319266240910031,3.5964410251469223,2.995837566899727,3.1907934967201372,4.654372692108154,"Cristopher Sanchez",20778,650911
"Garrett Crochet","CHW",6,12,0,32,32,146,12.883561643835616,2.0342465753424657,1.1095890410958904,0.3181818181818182,0.73637703,0.450867052,0.144,97.27986666341654,3.5753424657534247,2.8508351995356422,2.6870277234952744,2.378815742520845,4.625381946563721,"Garrett Crochet",27463,676979
"Logan Webb","SFG",13,10,0,33,33,204.2,7.563518291238209,2.198697177685526,0.4837133790908157,0.31518151815181517,0.71668064,0.568181818,0.078571428,92.83568188968121,3.473941540743131,4.367291185973823,2.9466100605212424,3.28218585995796,4.439412593841553,"Logan Webb",17995,657277
"Paul Skenes","PIT",11,3,0,23,23,133,11.503759398496241,2.1654135338345863,0.6766917293233082,0.28378378378378377,0.8559322,0.513157894,0.106382978,98.86830223321343,1.962406015037594,2.5029111064749023,2.4446752670115997,2.5358691781759264,4.267452239990234,"Paul Skenes",33677,694973
"George Kirby","SEA",14,11,0,33,33,191,8.434554973821989,1.0837696335078535,1.036649214659686,0.2906764168190128,0.71587125,0.412811387,0.096069868,96.18291523552503,3.5340314136125652,3.398079554381694,3.26072061598613,3.5761652496238656,4.146920680999756,"George Kirby",25436,669923
"Logan Gilbert","SEA",9,12,0,33,33,208.2,9.488818353954882,1.595846723165139,1.121405805467395,0.2364341085271318,0.69462647,0.451492537,0.128712871,96.76760925876727,3.2348244388482548,3.0704950096826504,3.2671187608317407,3.1110118748995474,4.012938499450684,"Logan Gilbert",22250,669302
"Michael King","SDP",12,9,0,30,30,170.1,10.356164692803391,3.1702544977969564,0.8454011994125217,0.28837209302325584,0.75297941,0.400911161,0.098765432,93.79371687682749,2.8532290480172606,3.509101071492022,3.2662840865537732,3.4831844558951905,3.97294020652771,"Michael King",19853,650633
"Tyler Glasnow","LAD",9,6,0,22,22,134,11.283582089552239,2.3507462686567164,1.007462686567164,0.2532894736842105,0.69811321,0.485714285,0.136363636,96.41026368261826,3.4925373134328357,2.652902212316274,2.8978230618718848,2.6838001117555064,3.8963849544525146,"Tyler Glasnow",14374,607192
"Tanner Houck","BOS",9,10,0,30,30,178.2,7.757463128244379,2.4179105854268195,0.5541045091603127,0.2821011673151751,0.7086999,0.559386973,0.088,93.7676010131836,3.1231345061763083,4.131934293010457,3.317599189878971,3.5750677723239668,3.8848462104797363,"Tanner Houck",19879,656557
"Corbin Burnes","BAL",15,9,0,32,32,194.1,8.38250450755895,2.2229846207891137,1.0188679511950105,0.2693032015065913,0.75461455,0.481751824,0.116402116,,2.917667314785712,3.2966055908974865,3.547268810554597,3.5460831610000634,3.836148262023926,"Corbin Burnes",19361,669203
"Sonny Gray","STL",13,9,0,28,28,166.1,10.983968271747605,2.1102205054096386,1.1362725798359592,0.29876543209876544,0.67917206,0.423076923,0.142857142,92.57662771507665,3.8416834842072904,3.6564511125509465,3.124395608666241,2.819376976380927,3.8114938735961914,"Sonny Gray",12768,543243
"Hunter Greene","CIN",9,5,0,26,26,150.1,10.117516972020082,3.4124169668943476,0.7184035719777574,0.23728813559322035,0.80541237,0.339779005,0.068571428,97.79505429025424,2.75388035924807,3.051496028377187,3.472466484872914,4.194870973319694,3.6906678676605225,"Hunter Greene",22182,668881
"Framber Valdez","HOU",15,7,0,28,28,176.1,8.62570913349315,2.80718344581138,0.6635160871917808,0.27608695652173915,0.77133479,0.605603448,0.139784946,95.94760131835938,2.9092628438408847,3.4488451971603906,3.2458748656460767,3.0849114306362346,3.6534717082977295,"Framber Valdez",17295,664285
"Yusei Kikuchi","- - -",9,10,0,32,32,175.2,10.554080078374009,2.254269531303186,1.2808349609677194,0.3093681917211329,0.71910112,0.425887265,0.135135135,95.57594159388647,4.047438476657994,3.6971066657237213,3.456802369442478,3.1990503021500785,3.6429601907730103,"Yusei Kikuchi",20633,579328
"Reynaldo López","ATL",8,5,0,25,25,134.2,9.757425374043327,2.80693058705356,0.6683168064413239,0.28823529411764703,0.86956522,0.39481268,0.075757575,95.70230654761905,2.0049504193239716,3.953478627638659,2.9437075094760203,3.4604286010089935,3.452577829360962,"Reynaldo Lopez",16400,625643
"Ranger Suarez","PHI",12,8,0,27,27,150.2,8.661505009575565,2.4491152096041255,0.8362832423038478,0.2992874109263658,0.73918269,0.518779342,0.127272727,92.02605879934211,3.4646020038302265,3.6492650988626765,3.3655948359811876,3.2615301697807766,3.4363789558410645,"Ranger Suarez",17277,624133
"Erick Fedde","- - -",9,9,0,31,31,177.1,7.815789697856177,2.6390978200553326,1.0150376230982048,0.27070707070707073,0.79234973,0.421052631,0.0990099,93.37863498263889,3.298872275069166,3.8906109196195877,3.8600888207402355,4.116248779535615,3.40673166513443,"Erick Fedde",17425,607200
"Max Fried","ATL",11,10,0,29,29,174.1,8.569789924980146,2.94263870917993,0.6711281266550717,0.2823779193205945,0.72471324,0.587866108,0.117117117,94.21763107416879,3.2523901522515013,3.7449676372517144,3.3328277754948985,3.326133318840467,3.370835781097412,"Max Fried",13743,608331
"Jack Flaherty","- - -",13,7,0,28,28,162,10.777778031567657,2.1111111608225306,1.3333333647300194,0.2853470437017995,0.80892608,0.395121951,0.154838709,93.40228853798587,3.166666741233796,3.5991857092253405,3.4751217608661884,2.9958705333118116,3.3211296796798706,"Jack Flaherty",17479,656427
"Michael Wacha","KCR",13,8,0,29,29,166.2,7.830000477905303,2.4300001483154388,0.9180000560302769,0.28964059196617337,0.77136515,0.385892116,0.085,93.75292179927303,3.3480002043457158,4.03393941164317,3.652479807952883,4.1408899252293105,3.319831132888794,"Michael Wacha",14078,608379
"Tanner Bibee","CLE",12,8,0,31,31,173.2,9.690979454405417,2.2802304598600984,1.1401152299300492,0.28507795100222716,0.77102804,0.346153846,0.10576923,94.68333164915117,3.4721691093324223,3.7446510296258944,3.558034503720317,3.7221290344117035,3.2966694831848145,"Tanner Bibee",30134,676440
"Pablo López","MIN",15,10,0,32,32,185.1,9.615108177544798,1.9910072488855388,1.2625899627079027,0.30861723446893785,0.72170301,0.428846153,0.138297872,95.10556640625,4.079136802594762,3.7023843764854183,3.6466956188069033,3.356718526512719,3.2251782417297363,"Pablo Lopez",17085,641154
"MacKenzie Gore","WSN",10,12,0,32,32,166.1,9.79358747382422,3.517034175682731,0.8116232713113994,0.33986928104575165,0.68141593,0.391489361,0.090361445,96.12840411888956,3.895791702294717,4.135993849376615,3.533213256437909,3.8698469066084726,3.2249128818511963,"MacKenzie Gore",22201,669022
"Joe Ryan","MIN",7,7,0,23,23,135,9.8,1.5333333333333334,1.2666666666666666,0.26453488372093026,0.70915619,0.356545961,0.116564417,94.0268952404318,3.6,2.89194254763638,3.4405538523638692,3.4365343724687896,3.138313055038452,"Joe Ryan",21390,657746
"Hunter Brown","HOU",11,9,0,30,30,165,9.381818181818181,3.272727272727273,0.9272727272727272,0.30663615560640733,0.75962539,0.482300884,0.122302158,96.12676282051282,3.5454545454545454,3.3767053359488024,3.6028434146534316,3.5372020114100344,3.1342244148254395,"Hunter Brown",25880,686613
"Brandon Pfaadt","ARI",11,10,0,32,32,181.2,9.165138127885907,2.0807340614659897,1.1889908922662797,0.31485148514851485,0.64483112,0.414913957,0.1182266,93.88067346256685,4.706422281887357,3.732572940314249,3.606846775425454,3.5789809378818194,3.123135805130005,"Brandon Pfaadt",27782,694297
"Aaron Nola","PHI",14,8,0,33,33,199.1,8.894649056390591,2.2575251412158863,1.3545150847295317,0.29444444444444445,0.79,0.445229681,0.15625,92.5970207622298,3.5668897231211,3.770285498880573,3.944071771375267,3.4439326983857663,3.1189963817596436,"Aaron Nola",16149,605400
"Shota Imanaga","CHC",15,3,0,29,29,173.1,9.034615649725566,1.4538461965075624,1.4019231180608638,0.26406926406926406,0.80168776,0.372427983,0.122171945,91.9415578358209,2.907692393015125,3.360244518184616,3.720325948387914,3.6231366634688884,3.0945682525634766,"Shota Imanaga",33829,684007
"Blake Snell","SFG",5,3,0,20,20,104,12.548076923076923,3.8076923076923075,0.5192307692307693,0.26576576576576577,0.70866142,0.420353982,0.065217391,96.10436625608273,3.1153846153846154,2.554713072060103,2.4260951629051797,3.013641060716831,3.0745391845703125,"Blake Snell",13543,605483
"Justin Steele","CHC",5,5,0,24,24,134.2,9.02227790925265,2.4727724640173934,0.8019802586002356,0.26975476839237056,0.72485207,0.448369565,0.086956521,,3.07425765796757,2.8147480327074934,3.2333114665064815,3.6243300113302235,2.9989845752716064,"Justin Steele",17312,657006
"Kevin Gausman","TOR",14,11,0,31,31,181,8.05524861878453,2.7845303867403315,0.994475138121547,0.2810077519379845,0.7025641,0.382739212,0.088888888,94.01073561574697,3.8287292817679557,4.815906858544872,3.7742145849196294,4.217318957294878,2.9966886043548584,"Kevin Gausman",14107,592332
"Bailey Ober","MIN",12,9,0,31,31,178.2,9.621269204510886,2.166044899444859,1.3600747043025858,0.24660633484162897,0.70652174,0.33548387,0.115384615,91.7146841561284,3.9794778385149736,3.2542256493713024,3.8157335465988487,3.831460975046075,2.9579076766967773,"Bailey Ober",21224,641927
"Yoshinobu Yamamoto","LAD",7,2,0,18,18,90,10.5,2.2,0.7,0.30472103004291845,0.75657895,0.478991596,0.093333333,95.62048625627091,3,3.4451073018592613,2.6109242227342397,2.8598201168080175,2.8732681274414062,"Yoshinobu Yamamoto",33825,808967
"Zac Gallen","ARI",14,6,0,28,28,148,9.486486486486486,3.2837837837837838,0.7905405405405406,0.30456852791878175,0.74652778,0.461728395,0.095588235,93.8180123390558,3.6486486486486487,3.9425915564072422,3.3759392377492548,3.623460475899078,2.830951452255249,"Zac Gallen",19291,668678
"Nestor Cortes","NYY",8,10,0,30,30,170,8.41764705882353,2.011764705882353,1.2705882352941176,0.2929936305732484,0.7629108,0.306748466,0.10041841,92.04946078431372,3.864705882352941,3.669403875872988,3.8723621312309717,4.1627739493899485,2.8170485496520996,"Nestor Cortes",17874,641482
"Zach Eflin","- - -",10,9,0,28,28,165.1,7.294354894809992,1.3064516229510432,1.1975806543717895,0.2874251497005988,0.75215783,0.42746615,0.113402061,92.63402827099117,3.592741963115369,3.7357914355898796,3.7652701054756896,3.809602550214079,2.807284414768219,"Zach Eflin",13774,621107
"Sean Manaea","NYM",12,6,0,32,32,181.2,9.115596840708145,3.1211010921989844,1.0403670307329949,0.24511930585683298,0.74178935,0.37605042,0.102439024,92.2266050054407,3.4678901024433157,3.7598997151472924,3.8325348614574795,4.035993900054773,2.7818140983581543,"Sean Manaea",15873,640455
