Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024,"Adam Ottavino","NYM",52,93,6.75,22,6,1,15,14,4,11,1,4,25,0.285714285,0.397849462,0.545454545,0.3998469820489054,1247
2024,"Matt Moore","LAA",42,76,5.12068966,12,1,0,12,11,5,7,0,0,14,0.173913043,0.25,0.405797101,0.28443001210689545,1890
2024,"Clayton Kershaw","LAD",7,34,3.375,8,1,0,4,3,1,0,0,2,9,0.258064516,0.294117647,0.387096774,0.2951383976375355,2036
2024,"Lance Lynn","STL",23,268,5.00561798,60,11,1,41,33,9,30,0,2,50,0.257510729,0.343283582,0.429184549,0.3370758911122137,2520
2024,"Kenley Jansen","BOS",50,103,2.88,21,4,0,8,8,2,10,2,0,29,0.228260869,0.300970873,0.336956521,0.2757991404816656,3096
2024,"Max Scherzer","TEX",9,84,4.18965517,19,7,0,9,9,2,9,0,1,14,0.260273972,0.345238095,0.438356164,0.340712152776264,3137
2024,"T.J. McFarland","OAK",71,117,1.18681319,26,7,0,6,4,1,3,0,2,25,0.234234234,0.267241379,0.324324324,0.26042502656065186,3237
2024,"Justin Wilson","CIN",54,94,6.19672131,28,4,0,14,14,6,4,0,1,25,0.318181818,0.351063829,0.568181818,0.3900314766041776,4301
2024,"Charlie Morton","ATL",30,381,3.9486166,74,17,1,41,37,9,49,1,17,104,0.237179487,0.368421052,0.384615384,0.33805787500416695,4676
2024,"Jake Diekman","NYM",37,67,2.4,8,1,0,6,4,1,11,0,3,15,0.156862745,0.333333333,0.235294117,0.27780811353163287,5003
2024,"Jesse Chavez","ATL",42,116,2.05063291,26,3,1,6,6,2,14,1,0,19,0.257425742,0.347826086,0.366336633,0.3161875631725579,5448
2024,"Ryan Brasier","LAD",28,57,3.46153846,16,5,0,5,5,1,2,0,0,9,0.296296296,0.315789473,0.444444444,0.32486333972529363,5615
2024,"Huascar Brazoban","2 Tms",34,93,2.25,12,1,0,6,6,0,13,0,0,22,0.15,0.268817204,0.1625,0.2141071327271,6107
