Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024,"Dedniel Nunez","NYM",24,88,2.31428571,15,3,0,8,6,2,5,1,0,32,0.180722891,0.227272727,0.289156626,0.22340448971452384,23055
2024,"Eduardo Salazar","2 Tms",26,87,1.32786885,19,4,0,4,3,2,9,0,1,16,0.246753246,0.333333333,0.376623376,0.3161105116208394,23135
2024,"Osvaldo Bido","OAK",16,140,3.78,29,11,0,14,14,1,11,1,5,39,0.235772357,0.321428571,0.349593495,0.2973371804189339,23150
2024,"Michael Grove","LAD",39,141,3.78,32,5,0,16,14,4,12,0,1,29,0.253968253,0.321428571,0.388888888,0.31242701496396746,23221
2024,"Michael Mercado","PHI",5,39,7.56,9,0,0,7,7,4,4,0,1,8,0.264705882,0.358974358,0.617647058,0.4124028927240616,23223
2024,"Spencer Howard","2 Tms",9,75,8.25,29,5,1,12,11,2,9,0,0,11,0.446153846,0.513513513,0.646153846,0.4956684096439465,23252
2024,"Cody Bolton","SEA",17,43,3.72413793,7,2,1,6,4,3,7,0,0,10,0.2,0.325581395,0.571428571,0.371006031369054,23265
2024,"Janson Junk","2 Tms",6,28,13.5,11,3,0,9,9,1,1,0,0,7,0.423076923,0.428571428,0.653846153,0.4526448292391641,23301
2024,"Collin Snider","SEA",41,96,2.52,17,4,0,8,7,4,8,1,0,30,0.193181818,0.260416666,0.375,0.27342674104790937,23307
2024,"Jose Butto","NYM",29,142,2.20909091,27,7,0,9,9,3,9,0,4,43,0.212598425,0.283687943,0.338582677,0.27660980799519425,23313
2024,"Joey Cantillo","CLE",9,121,2.7,23,9,0,10,9,3,10,0,0,34,0.209090909,0.272727272,0.372727272,0.28123118709926764,23335
2024,"Robert Garcia","WSN",65,148,4.41346154,34,4,0,20,17,3,8,1,0,46,0.244604316,0.285714285,0.338129496,0.2725802880443939,23363
2024,"Max Lazar","PHI",11,33,4.82142857,6,2,0,5,5,2,1,0,0,5,0.1875,0.212121212,0.4375,0.27456565517367737,23426
2024,"JP Sears","OAK",32,606,4.57411765,141,34,1,76,72,23,44,0,11,104,0.259191176,0.324503311,0.452205882,0.3357748095168183,23429
2024,"Tom Cosgrove","SDP",17,40,12.14999999,16,2,0,9,9,1,4,0,1,7,0.457142857,0.525,0.6,0.48743643760681155,23443
2024,"Hunter Stratton","PIT",35,90,4.18309859,16,2,0,13,11,2,4,0,1,20,0.19047619,0.235955056,0.285714285,0.23219503244657194,23455
2024,"Brandon Hughes","ARI",14,54,16.20000001,19,5,0,15,15,8,9,0,1,9,0.441860465,0.537037037,1.116279069,0.6459583750477543,23460
2024,"Ron Marinaccio","NYY",16,45,3.85714286,11,2,0,4,4,2,5,0,2,10,0.314285714,0.409090909,0.542857142,0.4015028883110393,23488
2024,"Keaton Winn","SFG",12,127,7.84883721,33,5,3,25,25,5,9,0,4,22,0.294642857,0.365079365,0.526785714,0.38100927737024093,23499
2024,"Aaron Ashby","MIL",14,81,3.92727273,15,5,0,10,8,1,6,0,0,18,0.205479452,0.2625,0.315068493,0.25490028187632563,23550
2024,"Ben Brown","CHC",15,104,3.49411765,17,5,0,11,11,2,6,0,0,31,0.180851063,0.22330097,0.29787234,0.2264402364064189,23590
2024,"Brett de Geus","3 Tms",12,29,7.7142857,9,4,0,6,6,0,1,0,1,1,0.346153846,0.392857142,0.5,0.38698788838727133,23592
2024,"Josh Walker","NYM",9,32,3.85714286,8,2,0,3,3,0,4,0,0,7,0.307692307,0.375,0.384615384,0.3298649825155735,23617
2024,"Ryan Weathers","MIA",16,292,4.0631068,64,14,0,35,31,11,17,1,7,61,0.241509433,0.302405498,0.418867924,0.31228317721136684,23796
2024,"Randy Dobnak","MIN",5,24,4.5,5,2,1,3,3,0,2,0,0,3,0.227272727,0.291666666,0.409090909,0.30168679853280383,23798
2024,"Ray Kerr","ATL",10,66,6.58536585,20,5,0,10,10,3,3,0,3,17,0.33898305,0.393939393,0.576271186,0.4125691020127499,23809
2024,"Valente Bellozo","MIA",13,162,4.13513514,40,9,1,17,17,10,11,1,1,21,0.27027027,0.320987654,0.547297297,0.3641102339910424,23899
2024,"Brayan Bello","BOS",30,323,4.25106383,71,12,0,37,37,6,21,0,5,81,0.241496598,0.300309597,0.343537414,0.28530771868885857,23920
2024,"Randy Rodriguez","SFG",34,125,2.64130435,25,6,1,11,9,2,9,0,2,28,0.225225225,0.292682926,0.351351351,0.2842743004240641,23974
2024,"Jose A. Ferrer","WSN",29,83,4.18965517,20,1,0,9,9,1,4,0,2,16,0.259740259,0.313253012,0.311688311,0.28158743266599723,24017
2024,"Ronny Henriquez","MIN",13,45,0,9,1,0,0,0,0,2,0,2,8,0.219512195,0.288888888,0.243902439,0.24726171758439805,24094
2024,"Luis Peralta","COL",14,23,0,2,0,0,0,0,0,2,0,1,7,0.1,0.217391304,0.1,0.16790760340897934,24203
2024,"Kai-Wei Teng","SFG",4,35,15,11,1,0,10,10,2,6,0,1,4,0.392857142,0.514285714,0.642857142,0.49320943866457256,24282
2024,"Justin Martinez","ARI",63,181,2.26717557,36,5,1,13,11,1,14,0,2,52,0.220858895,0.288888888,0.282208588,0.25871985852718354,24453
2024,"Grayson Rodriguez","BAL",20,250,4.04191617,64,14,1,26,25,9,16,0,4,62,0.279475982,0.336,0.467248908,0.34709576749801635,24492
2024,"Simeon Woods Richardson","MIN",28,329,5.01265823,71,15,1,45,44,10,28,0,0,68,0.240677966,0.302752293,0.4,0.30542921491354613,24494
2024,"Josiah Gray","WSN",2,21,7.71428571,5,2,0,4,4,0,3,0,0,5,0.294117647,0.38095238,0.411764705,0.3438769805999029,24580
2024,"Kyle Bradish","BAL",8,86,3.48387097,15,5,1,8,8,0,9,0,0,27,0.197368421,0.282352941,0.289473684,0.2588201368556303,24586
2024,"Josh Winder","MIN",4,20,4.15384616,5,1,0,3,2,0,0,0,1,5,0.294117647,0.3,0.352941176,0.2750740498304367,24606
2024,"Victor Vodnik","COL",62,181,3.91935484,44,2,3,18,18,5,15,0,1,45,0.268292682,0.333333333,0.408536585,0.32534438172976177,24614
2024,"Randy Vasquez","SDP",20,233,4.83815029,54,12,1,31,31,7,14,0,3,46,0.253521126,0.307359307,0.417840375,0.315052422868225,24719
2024,"Gus Varland","2 Tms",25,72,4.40816327,19,3,0,10,8,2,5,1,1,18,0.287878787,0.347222222,0.424242424,0.33356655567464694,24737
2024,"Kyle Leahy","STL",33,115,2.34782609,21,4,0,9,8,1,5,0,0,17,0.194444444,0.226086956,0.259259259,0.2140906142151874,24763
2024,"Ryan Fernandez","STL",62,175,3.95121951,38,5,2,21,18,1,18,2,0,45,0.24516129,0.32183908,0.322580645,0.28476203874100087,24862
