Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2024,"David Peralta","SDP",19,26,20,4,3,1,0,0,3,1,4,0,8,2,0,0,0,0,0,0.2,2136
2024,"Carlos Santana","MIN",78,163,147,42,23,7,0,12,24,29,15,2,28,1,0,0,4,0,0,0.285714285,2396
2024,"Tommy Pham","3 Tms",56,119,108,24,16,3,1,4,16,12,10,0,22,1,0,0,1,3,0,0.222222222,2967
2024,"Anthony Rizzo","NYY",52,97,86,19,17,2,0,0,4,3,5,0,19,5,1,0,2,0,0,0.220930232,3473
2024,"Jason Heyward","2 Tms",19,22,22,4,3,0,0,1,4,2,0,0,11,0,0,0,0,0,0,0.181818181,4940
2024,"Giancarlo Stanton","NYY",64,140,126,30,19,6,0,5,10,16,11,2,39,1,2,0,6,0,0,0.238095238,4949
2024,"Justin Turner","2 Tms",70,141,119,30,18,9,0,3,17,19,17,2,25,3,2,0,1,0,1,0.25210084,5235
2024,"Robbie Grossman","3 Tms",62,126,107,26,18,5,0,3,12,11,18,0,30,0,1,0,4,2,0,0.242990654,5254
2024,"Freddie Freeman","LAD",104,224,192,48,29,11,1,7,18,28,21,1,34,6,5,0,6,3,0,0.25,5361
2024,"Jose Altuve","HOU",72,170,154,57,39,14,0,4,31,16,12,1,28,4,0,0,4,6,3,0.37012987,5417
2024,"Kyle Higashioka","SDP",44,85,81,16,6,2,1,7,10,18,4,0,24,0,0,0,1,0,0,0.197530864,5517
2024,"Avisail Garcia","MIA",17,39,38,10,7,1,0,2,4,2,1,0,11,0,0,0,3,0,0,0.263157894,5760
2024,"Wilmer Flores","SFG",46,108,97,21,12,7,0,2,7,17,8,1,13,0,3,0,0,0,0,0.216494845,5827
2024,"J.D. Martinez","NYM",64,138,118,31,19,6,0,6,18,24,18,0,38,2,0,0,1,0,0,0.262711864,6184
2024,"Martin Maldonado","CHW",26,45,41,2,1,0,0,1,2,3,2,0,17,0,0,2,2,0,0,0.048780487,6887
2024,"Salvador Perez","KCR",80,158,145,43,30,4,0,9,17,25,8,4,29,3,2,0,2,0,0,0.296551724,7304
2024,"Travis d'Arnaud","ATL",41,77,67,17,8,2,0,7,11,15,6,0,19,2,2,0,2,0,0,0.253731343,7739
2024,"Miguel Rojas","LAD",58,114,104,27,19,6,0,2,12,13,8,0,11,1,1,0,4,5,0,0.259615384,7802
2024,"Charlie Blackmon","COL",70,114,104,27,18,6,2,1,5,10,8,0,13,2,0,0,2,2,1,0.259615384,7859
2024,"Donovan Solano","SDP",59,118,106,32,25,3,0,4,10,12,12,0,20,0,0,0,2,0,0,0.301886792,8623
2024,"Paul Goldschmidt","STL",85,167,146,43,27,11,0,5,26,16,16,1,28,1,1,0,3,5,0,0.294520547,9218
2024,"Starling Marte","NYM",49,113,100,31,22,5,2,2,16,12,11,0,25,1,0,1,1,5,1,0.31,9241
2024,"Christian Vazquez","MIN",51,94,90,18,12,3,0,3,10,11,3,0,21,0,1,0,3,2,0,0.2,9774
2024,"Nolan Arenado","STL",86,154,145,34,23,6,0,5,19,17,6,0,17,1,2,0,5,1,0,0.234482758,9777
2024,"Andrew McCutchen","PIT",74,141,120,24,15,3,0,6,18,14,17,0,41,4,0,0,1,1,1,0.2,9847
2024,"DJ LeMahieu","NYY",39,85,73,12,11,0,0,1,6,9,8,0,10,0,4,0,5,0,0,0.164383561,9874
2024,"Christian Bethancourt","2 Tms",26,51,50,12,6,4,0,2,7,8,1,0,13,0,0,0,1,2,0,0.24,10028
2024,"Tucker Barnhart","ARI",20,33,30,3,2,1,0,0,5,1,2,0,13,0,0,1,0,0,0,0.1,10200
2024,"Jose Iglesias","NYM",54,101,92,37,26,10,0,1,18,6,4,1,12,5,0,0,0,3,1,0.402173913,10231
2024,"Randal Grichuk","ARI",94,184,163,52,31,14,1,6,21,32,16,0,28,3,2,0,2,0,0,0.319018404,10243
2024,"Marcell Ozuna","ATL",72,163,141,45,30,10,0,5,23,24,21,0,47,0,0,0,3,0,0,0.319148936,10324
2024,"Jon Singleton","HOU",48,82,76,11,7,2,0,2,6,3,6,0,31,0,0,0,1,0,0,0.144736842,10441
2024,"Enrique Hernandez","LAD",78,144,136,32,21,5,0,6,17,12,8,0,27,0,0,0,7,0,0,0.235294117,10472
2024,"Gio Urshela","2 Tms",60,107,96,17,13,4,0,0,7,8,9,1,18,0,2,0,5,0,0,0.177083333,10681
2024,"Jurickson Profar","SDP",86,175,150,45,31,6,0,8,21,31,20,3,17,2,2,1,5,1,1,0.3,10815
2024,"Adam Duvall","ATL",61,123,107,27,15,4,0,8,17,19,13,0,28,2,1,0,2,0,0,0.252336448,10950
2024,"Kevin Kiermaier","2 Tms",35,57,51,8,6,2,0,0,2,2,5,0,17,0,0,1,1,2,0,0.156862745,11038
2024,"Whit Merrifield","2 Tms",58,121,107,22,16,3,0,3,15,6,13,0,15,0,0,1,3,6,2,0.205607476,11281
