Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2024,"David Peralta","SDP",88,234,216,59,41,10,0,8,32,27,18,0,46,0,0,0,3,2,0,0.273148148,2136
2024,"Carlos Santana","MIN",140,431,374,82,52,19,0,11,39,42,50,1,71,5,2,0,7,4,0,0.219251336,2396
2024,"Tommy Pham","3 Tms",109,359,332,85,61,17,2,5,33,27,25,0,84,1,1,0,4,4,3,0.256024096,2967
2024,"Anthony Rizzo","NYY",88,278,251,58,40,10,0,8,34,32,22,0,46,4,1,0,5,0,0,0.231075697,3473
2024,"Jason Heyward","2 Tms",81,236,206,44,21,12,2,9,29,35,22,2,42,4,3,0,3,5,0,0.213592233,4940
2024,"Giancarlo Stanton","NYY",109,319,291,67,31,14,0,22,39,56,27,0,104,1,0,0,11,0,0,0.230240549,4949
2024,"Justin Turner","2 Tms",130,398,341,89,66,15,0,8,42,36,42,0,70,10,5,0,15,0,1,0.260997067,5235
2024,"Robbie Grossman","3 Tms",53,119,101,18,15,3,0,0,9,5,16,0,28,1,1,0,4,1,0,0.178217821,5254
2024,"Aaron Hicks","LAA",16,46,41,5,5,0,0,0,4,3,5,0,17,0,0,0,0,0,0,0.121951219,5297
2024,"Brandon Crawford","STL",26,69,61,10,5,4,0,1,5,3,8,0,23,0,0,0,0,0,0,0.163934426,5343
2024,"Freddie Freeman","LAD",132,414,350,105,65,24,1,15,63,61,57,8,66,4,3,0,7,6,2,0.3,5361
2024,"Jose Altuve","HOU",149,512,474,128,95,17,0,16,63,49,35,1,91,3,0,0,11,16,4,0.270042194,5417
2024,"Kyle Higashioka","SDP",68,178,165,38,20,8,0,10,19,27,11,0,50,0,1,1,2,2,0,0.23030303,5517
2024,"Wilmer Flores","SFG",58,134,117,23,16,5,0,2,12,9,12,0,20,3,2,0,5,0,0,0.196581196,5827
2024,"J.D. Martinez","NYM",112,357,316,71,42,18,1,10,28,45,31,0,103,4,2,0,16,0,0,0.224683544,6184
2024,"Martin Maldonado","CHW",44,102,94,14,8,3,0,3,7,10,6,0,34,1,0,1,3,0,0,0.14893617,6887
2024,"Salvador Perez","KCR",154,494,445,117,75,24,0,18,41,79,36,5,100,8,4,0,15,0,0,0.262921348,7304
2024,"Travis d'Arnaud","ATL",89,264,240,56,34,14,0,8,29,33,18,0,70,4,2,0,6,1,0,0.233333333,7739
2024,"Miguel Rojas","LAD",84,223,203,60,41,15,0,4,29,23,15,0,23,2,1,2,4,3,2,0.295566502,7802
2024,"Charlie Blackmon","COL",119,385,345,88,56,18,3,11,54,42,35,2,73,4,1,0,2,4,1,0.255072463,7859
2024,"Matt Carpenter","STL",56,138,120,27,16,7,0,4,14,12,14,0,46,1,2,0,0,0,2,0.225,8090
2024,"Donovan Solano","SDP",83,191,177,49,35,10,0,4,21,23,10,0,45,3,1,0,4,2,1,0.276836158,8623
2024,"Paul Goldschmidt","STL",151,487,453,104,64,22,1,17,44,49,31,1,145,1,1,0,17,6,0,0.229580573,9218
2024,"Starling Marte","NYM",88,257,235,59,45,8,1,5,30,28,16,1,56,2,2,2,7,11,0,0.251063829,9241
2024,"Yan Gomes","CHC",28,79,75,13,9,2,0,2,6,6,1,0,28,1,1,1,2,0,0,0.173333333,9627
