Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jeremiah Jackson","BAL",48,183,5,20,21,0,0.060109289,0.273224043,0.170588235,0.365217391,0.276470588,0.327868852,0.447058823,0.33550918330260315,0.2950612372094458,117.10790133397711,-1.005088472738862,2.6848608485045045,-1.1438067555427551,0.8020908971476078,"Jeremiah Jackson",22239,669236
"Tyrone Taylor","NYM",113,341,2,34,27,12,0.046920821,0.2228739,0.096774193,0.286324786,0.222580645,0.27893175,0.319354838,0.26436372598012287,0.2980539912269229,69.98385009970679,2.5434963516891003,-9.587698273571721,5.959100127220154,0.7895001299543629,"Tyrone Taylor",13675,621438
"Paul Goldschmidt","NYY",146,534,10,76,45,5,0.06741573,0.187265917,0.128834356,0.325459317,0.274028629,0.327683615,0.402862985,0.3161110693284314,0.3294777906578006,103.42911759869705,-2.554171474650502,-0.395948998668592,-10.318761587142944,0.7841948897031279,"Paul Goldschmidt",9218,502671
"Leo Rivas","SEA",48,111,2,19,9,6,0.18018018,0.216216216,0.088888889,0.3125,0.244444444,0.387387387,0.333333333,0.3334606622790431,0.28767761024268895,120.78382842463624,1.3838480990380049,4.102922568909376,-0.3548300638794899,0.7743555529572015,"Leo Rivas",21009,660844
"Nasim Nuñez","WSN",39,92,4,13,13,9,0.086956521,0.217391304,0.170731707,0.254237288,0.231707317,0.296703296,0.402439024,0.30391916927400525,0.2958648388202374,93.79963648736965,1.7638175878673792,1.0877358811839368,3.36293226480484,0.7685235787409116,"Nasim Nunez",25979,683083
"Lourdes Gurriel Jr.","ARI",129,546,19,52,80,10,0.056776556,0.139194139,0.17,0.253623188,0.248,0.294871794,0.418,0.3066032725376087,0.3143736895392923,94.63401352769503,-0.6849745437502861,-4.157427909354341,-6.576246336102486,0.7603741901853827,"Lourdes Gurriel Jr.",19238,666971
"Reese McGuire","CHC",45,140,9,17,24,0,0.028571428,0.192857142,0.218045113,0.212121212,0.225563909,0.244604316,0.443609022,0.2904465262838405,0.2554588317871094,86.34261688919167,-0.9647094327956438,-3.230865071161308,5.9606287479400635,0.755843703356512,"Reese McGuire",15674,624512
"Carlos Cortes","ATH",42,99,4,11,14,0,0.03030303,0.202020202,0.234042553,0.347222222,0.308510638,0.323232323,0.542553191,0.3630533308693857,0.3164538951835247,131.81822021216703,-0.26192320324480534,3.4507237489198044,0.46469438076019287,0.7492178926727475,"Carlos Cortes",21842,666126
"Adolis García","TEX",135,547,19,58,75,13,0.051188299,0.246800731,0.16765286,0.266666666,0.226824457,0.270566727,0.394477317,0.2858046869655232,0.30361353323000284,82.82936211315248,1.4471911415457726,-9.622775970607385,-1.9154119491577148,0.745721448991881,"Adolis Garcia",19287,666969
"James McCann","ARI",42,137,5,18,17,0,0.05839416,0.240875912,0.170731707,0.313953488,0.260162601,0.323529411,0.430894308,0.3283093313083929,0.31250569399665384,109.50336185463483,-0.23714551143348217,1.3059472674237216,1.314765140414238,0.7344745070006624,"James McCann",12859,543510
"Adam Frazier","- - -",134,459,7,43,44,8,0.05664488,0.176470588,0.097852029,0.3125,0.267303102,0.318777292,0.365155131,0.29973384960178745,0.27928825010333147,88.5631944045655,-1.220538979396224,-7.4395042750792655,-0.8808848485350609,0.734279981514932,"Adam Frazier",15223,624428
"Nick Allen","ATL",135,416,0,32,22,8,0.07451923,0.237980769,0.029649596,0.298181818,0.221024258,0.284313725,0.250673854,0.24515945756552265,0.25240820147133813,53.05633301470826,-0.5044827442616224,-23.649875125302348,16.98022699356079,0.7336598279877544,"Nick Allen",22277,669397
"Luis García Jr.","WSN",139,526,16,67,66,14,0.051330798,0.159695817,0.159836065,0.26952141,0.25204918,0.288973384,0.411885245,0.299975863411313,0.33926685711809695,91.09834515432694,-0.9312464706599712,-6.480706156345734,-3.8753219842910767,0.7309328676254119,"Luis Garcia Jr.",20391,671277
"Joey Loperfido","TOR",41,104,4,12,14,1,0.038461538,0.259615384,0.166666667,0.43076923,0.333333333,0.378640776,0.5,0.3812407897514047,0.31624303280728533,147.7699833600577,-0.5446266252547503,5.310833180632439,-1.7521750330924988,0.7303240341067824,"Joey Loperfido",29630,694388
"Javier Sanoja","MIA",120,342,6,40,38,6,0.055555555,0.11988304,0.153354633,0.259259259,0.242811501,0.286982248,0.396166134,0.2944172633117473,0.2815050979750093,85.92940682522564,-0.23279194347560406,-5.9361773261105855,1.6714999079704285,0.7278252223038262,"Javier Sanoja",28253,691594
"Casey Schmitt","SFG",95,348,12,34,40,0,0.077586206,0.238505747,0.163461538,0.281818181,0.237179487,0.305475504,0.400641025,0.30719878942291173,0.32796138697276916,98.41955301869663,-1.2920075692236423,-1.9438661413801765,-2.597540586721152,0.7199361242562984,"Casey Schmitt",27577,669477
"Yoán Moncada","LAA",84,289,12,39,35,0,0.110726643,0.25951557,0.213709678,0.282208588,0.233870967,0.335640138,0.447580645,0.33937309578888947,0.32538692461073604,117.14707793360716,-0.25770111940801144,5.582940237861931,-8.521679997444153,0.7170235529287255,"Yoan Moncada",17232,660162
"Chandler Simpson","TBR",109,441,0,53,26,44,0.045351473,0.097505668,0.050724638,0.327077747,0.29468599,0.325688073,0.345410628,0.29617459784953964,0.29674178444295435,87.6851696317996,6.479006998240948,0.07812828136785654,-8.24849796295166,0.7170197717016203,"Chandler Simpson",31912,802415
"Andruw Monasterio","MIL",68,135,4,19,16,2,0.051851851,0.237037037,0.166666667,0.333333333,0.269841269,0.318518518,0.436507936,0.3276468285807857,0.28004497951931423,110.78837028702253,-1.0142711736261845,0.7118998359127773,1.747568428516388,0.7111692886655553,"Andruw Monasterio",19455,655316
"Ronny Mauricio","NYM",61,184,6,19,10,4,0.081521739,0.29347826,0.142857143,0.296296296,0.226190476,0.29347826,0.369047619,0.29006343298271053,0.2855475409913458,87.58897590154596,0.7226918060332537,-1.9838805867239322,2.794358253479004,0.7092510645900333,"Ronny Mauricio",23698,677595
"Isiah Kiner-Falefa","- - -",138,459,2,45,40,15,0.037037037,0.167755991,0.071925754,0.314447592,0.262180974,0.297356828,0.334106728,0.2787496891315813,0.261883761914291,74.82591581570927,1.5408005826175213,-12.14850060694452,3.676422066986561,0.6992605321225889,"Isiah Kiner-Falefa",16512,643396
