Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Cade Smith","CLE",8,5,16,76,0,73.2,12.705884107478782,2.321267288866316,0.4886878502876455,0.30177514792899407,0.64917127,0.366279069,0.059701492,96.48865439842805,2.932127101725873,2.507430867821359,1.954140680011644,2.65047381812976,2.7134203910827637,"Cade Smith",27867,671922
"Aroldis Chapman","BOS",5,3,32,67,0,61.1,12.472827121305642,2.2010871390539366,0.4402174278107874,0.2,0.87628866,0.385826771,0.052631578,98.4798018292683,1.1739131408287662,2.060281595618892,1.7329622888835388,2.5299048703522624,2.6448545455932617,"Aroldis Chapman",10233,547973
"Garrett Whitlock","BOS",7,3,1,62,0,72,11.3750012053385,3.0000003178914727,0.25000002649095604,0.30409356725146197,0.77306733,0.450867052,0.033333333,,2.2500002384186044,2.7892535095283804,2.176802883324789,3.100474632418242,2.2452890872955322,"Garrett Whitlock",20191,676477
"Adrian Morejon","SDP",13,6,3,75,0,73.2,8.552038265738089,2.0769235788221074,0.2443439504496597,0.23857868020304568,0.68037975,0.53125,0.036363636,96.61758915070564,2.0769235788221074,2.6323855320956833,2.2799324916329784,3.0780638471348434,2.243201494216919,"Adrian Morejon",20039,670970
"Bryan Abreu","HOU",3,4,7,70,0,71,13.30986058515743,3.9295778870464795,0.5070423080059974,0.3092105263157895,0.84577114,0.348387096,0.06557377,97.24713936237374,2.281690386026988,3.412074852127331,2.3886573647535134,2.9808559946208932,2.233285427093506,"Bryan Abreu",16609,650556
"Jhoan Duran","- - -",7,6,32,72,0,70,10.285714565977766,2.4428572094197194,0.3857142962241662,0.3021978021978022,0.80474934,0.650273224,0.083333333,100.55504496850132,2.057142913195553,2.5076996004363172,2.349422011083486,2.5851736651158292,2.1193090081214905,"Jhoan Duran",21029,661395
"David Bednar","- - -",6,5,27,64,0,62.2,12.351065082861016,2.7287236810972013,0.5744681433888844,0.2978723404255319,0.79470199,0.44137931,0.072727272,97.07157921632484,2.2978725735555376,2.848870936380127,2.177689412558647,2.701024502574199,2.049939513206482,"David Bednar",19569,670280
"Mason Miller","- - -",1,2,22,60,0,61.2,15.178380412735248,4.086487034197951,0.7297298275353484,0.23958333333333334,0.76,0.404040404,0.113636363,101.22627401447106,2.6270273791272545,2.5222320814297414,2.2270280883850204,2.273025875917015,2.044782817363739,"Mason Miller",31757,695243
"Edwin Díaz","NYM",6,3,28,62,0,66.1,13.296483431599176,2.849246449628395,0.5427136094530276,0.25984251968503935,0.86092715,0.484375,0.093023255,97.35310407366072,1.6281408283590828,2.489935206540468,2.2758397699061605,2.4913391412466384,2.0127620697021484,"Edwin Diaz",14710,621242
"Robert Suarez","SDP",4,6,40,70,0,69.2,9.688995569000813,2.06698572138684,0.775119645520065,0.2411764705882353,0.72438163,0.362068965,0.084507042,98.6495388215859,2.9712919744935826,3.6462500649818272,2.8767631030334324,3.3283921819659374,1.912063479423523,"Robert Suarez",30115,663158
