Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Mason Miller","SDP",5,2,33,57,0,60.1,16.558012445608945,3.13259694916926,0.2983425665875486,0.2903225806451613,0.83333333,0.452631578,0.057142857,101.3625184415236,1.1933702663501944,1.5011513336379996,0.9916267396096456,1.4350312777278795,3.328364133834839,"Mason Miller",31757,695243
"Louis Varland","TOR",5,4,33,64,0,70.2,11.080190274247983,2.4198116690886398,0.2547170177988042,0.2874251497005988,0.77039275,0.562874251,0.045454545,98.90834667316258,1.146226580094619,2.198340828239302,1.8088632583278392,2.379385367931755,2.8273582458496094,"Louis Varland",27691,686973
"Jhoan Duran","PHI",2,5,30,54,0,52.1,12.38216590595041,1.5477707382438013,0.17197452647153347,0.36,0.81597222,0.620967741,0.041666666,100.46176417151163,1.7197452647153348,2.114628907135178,1.3386374666016738,1.7814307714834392,2.613548755645752,"Jhoan Duran",21029,661395
"Adrian Morejon","SDP",9,3,2,66,0,76.2,11.034784072847327,2.8173916781737853,0.4695652796956309,0.30158730158730157,0.71090047,0.595854922,0.095238095,99.16997965976331,2.934782998097693,2.4043829371049465,2.457468773169407,2.6048925212533924,2.3913662433624268,"Adrian Morejon",20039,670970
"Trevor Megill","MIL",2,3,26,55,0,54.1,10.269938890654648,2.319018459180082,0,0.23308270676691728,0.67391304,0.356589147,0,97.89258619576447,2.153374283524362,2.460201820360195,1.6426115286660286,3.362486294119186,2.3897814750671387,"Trevor Megill",17722,656730
"Brent Headrick","NYY",7,3,0,72,0,71.1,11.228975165244176,2.649533465956491,0.5046730411345697,0.3240223463687151,0.86563307,0.350282485,0.053333333,94.19982974516697,1.8925239042546365,2.8946329792305194,2.2134214707696303,3.069124798606522,2.1568522453308105,"Brent Headrick",27702,687396
"Cade Smith","CLE",5,1,35,60,0,64,13.078125779517041,2.9531251760199773,0.7031250419095184,0.2949640287769784,0.79365079,0.405594405,0.083333333,97.3035886954993,2.2500001341104587,2.9899343697696823,2.3309742471203183,2.7283511871771156,2.0341010093688965,"Cade Smith",27867,671922
"Dylan Lee","ATL",6,0,0,66,0,62,10.887098783757386,2.177419756751477,0.4354839513502954,0.2534246575342466,0.68897638,0.324137931,0.044117647,93.36025826035032,2.6129037081017725,2.488926160527602,2.0320829672321827,3.0561112046494476,2.0116586685180664,"Dylan Lee",19996,669276
"Tanner Scott","LAD",1,5,21,62,0,57.1,10.988373798960676,1.8837212226789732,0.6279070742263244,0.291970802919708,0.77821012,0.388489208,0.072727272,96.812734375,2.6686050654618785,3.1549069508581704,2.2419479972804077,2.7808337628103423,1.976556420326233,"Tanner Scott",17586,656945
"Didier Fuentes","ATL",5,1,3,50,0,60.1,10.889504368956562,2.6850832690577824,0.44751387817629706,0.27972027972027974,0.86734694,0.377622377,0.051724137,97.2530223540146,1.7900555127051883,2.8463560144162985,2.317593652966758,3.120097393893125,1.9546151161193848,"Didier Fuentes",30661,800311
"Jacob Latz","TEX",3,2,28,50,0,59.1,10.162922219516215,2.882022718967285,0.6067416250457442,0.1893939393939394,0.77830189,0.368421052,0.064516129,95.03716947115385,1.9719102813986686,2.5275890976297313,2.675250942028916,3.3737879693710076,1.9478259086608887,"Jacob Latz",21306,656641
"David Bednar","NYY",7,3,31,57,0,61.1,10.12500083964811,2.641304566864724,0.4402174278107874,0.267515923566879,0.70723684,0.512658227,0.061224489,96.16670013142523,2.641304566864724,2.762523090226384,2.460729674806212,3.028983528925143,1.8391214609146118,"David Bednar",19569,670280
